契約項目編號,契約項目名稱,單價
Y6N10C3078D0,特殊電纜 FESTOON CABLE  5.5mm2 以下 *4C (含4C以下),48.01
Y6N10C3078E0,特殊電纜 FESTOON CABLE  5.5mm2 以下 *4C (含4C以下),104.73
Y6N10C3078F0,特殊電纜 FESTOON CABLE  5.5mm2 以下 *4C (含4C以下),52.36
Y6N10C3078G0,特殊電纜 FESTOON CABLE  5.5mm2 以下 *4C (含4C以下),113.46
Y6N10C3078H0,特殊電纜 FESTOON CABLE  5.5mm2 以下 *4C (含4C以下),56.73
Y6N10C3079A0,特殊電纜 FESTOON CABLE  8mm2以下 *4C (含4C以下),109.1
Y6N10C3079B0,特殊電纜 FESTOON CABLE  8mm2以下 *4C (含4C以下),54.54
Y6N10C3079C0,特殊電纜 FESTOON CABLE  8mm2以下 *4C (含4C以下),120.01
Y6N10C3079D0,特殊電纜 FESTOON CABLE  8mm2以下 *4C (含4C以下),60
Y6N10C3079E0,特殊電纜 FESTOON CABLE  8mm2以下 *4C (含4C以下),130.92
Y6N10C3079F0,特殊電纜 FESTOON CABLE  8mm2以下 *4C (含4C以下),65.45
Y6N10C3079G0,特殊電纜 FESTOON CABLE  8mm2以下 *4C (含4C以下),141.83
Y6N10C3079H0,特殊電纜 FESTOON CABLE  8mm2以下 *4C (含4C以下),70.91
Y6N10C3080A0,特殊電纜 FESTOON CABLE  14mm2以下 *4C (含4C以下),152.73
Y6N10C3080B0,特殊電纜 FESTOON CABLE  14mm2以下 *4C (含4C以下),76.37
Y6N10C3080C0,特殊電纜 FESTOON CABLE  14mm2以下 *4C (含4C以下),168.01
Y6N10C3080D0,特殊電纜 FESTOON CABLE  14mm2以下 *4C (含4C以下),84
Y6N10C3080E0,特殊電纜 FESTOON CABLE  14mm2以下 *4C (含4C以下),183.28
Y6N10C3080F0,特殊電纜 FESTOON CABLE  14mm2以下 *4C (含4C以下),91.64
Y6N10C3080G0,特殊電纜 FESTOON CABLE  14mm2以下 *4C (含4C以下),198.56
Y6N10C3080H0,特殊電纜 FESTOON CABLE  14mm2以下 *4C (含4C以下),99.28
Y6N10C3081A0,特殊電纜 FESTOON CABLE  22mm2 以下*4C (含4C以下),229.11
Y6N10C3081B0,特殊電纜 FESTOON CABLE  22mm2 以下*4C (含4C以下),114.55
Y6N10C3081C0,特殊電纜 FESTOON CABLE  22mm2 以下*4C (含4C以下),252.01
Y6N10C3081D0,特殊電纜 FESTOON CABLE  22mm2 以下*4C (含4C以下),126.01
Y6N10C3081E0,特殊電纜 FESTOON CABLE  22mm2 以下*4C (含4C以下),274.92
Y6N10C3081F0,特殊電纜 FESTOON CABLE  22mm2 以下*4C (含4C以下),137.47
Y6N10C3081G0,特殊電纜 FESTOON CABLE  22mm2 以下*4C (含4C以下),297.83
Y6N10C3081H0,特殊電纜 FESTOON CABLE  22mm2 以下*4C (含4C以下),148.91
Y6N10C3082A0,特殊電纜 FESTOON CABLE  38mm2以下 *4C (含4C以下),278.19
Y6N10C3082B0,特殊電纜 FESTOON CABLE  38mm2以下 *4C (含4C以下),139.1
Y6N10C3082C0,特殊電纜 FESTOON CABLE  38mm2以下 *4C (含4C以下),306.02
Y6N10C3082D0,特殊電纜 FESTOON CABLE  38mm2以下 *4C (含4C以下),153
Y6N10C3082E0,特殊電纜 FESTOON CABLE  38mm2以下 *4C (含4C以下),333.84
Y6N10C3082F0,特殊電纜 FESTOON CABLE  38mm2以下 *4C (含4C以下),166.91
Y6N10C3082G0,特殊電纜 FESTOON CABLE  38mm2以下 *4C (含4C以下),361.65
Y6N10C3082H0,特殊電纜 FESTOON CABLE  38mm2以下 *4C (含4C以下),180.83
Y6N10C3083A0,特殊電纜 FESTOON CABLE  60mm2以下 *4C (含4C以下),343.65
Y6N10C3083B0,特殊電纜 FESTOON CABLE  60mm2以下 *4C (含4C以下),171.82
Y6N10C3083C0,特殊電纜 FESTOON CABLE  60mm2以下 *4C (含4C以下),378.02
Y6N10C3083D0,特殊電纜 FESTOON CABLE  60mm2以下 *4C (含4C以下),189.01
Y6N10C3083E0,特殊電纜 FESTOON CABLE  60mm2以下 *4C (含4C以下),412.39
Y6N10C3083F0,特殊電纜 FESTOON CABLE  60mm2以下 *4C (含4C以下),206.19
Y6N10C3083G0,特殊電纜 FESTOON CABLE  60mm2以下 *4C (含4C以下),446.74
Y6N10C3083H0,特殊電纜 FESTOON CABLE  60mm2以下 *4C (含4C以下),223.38
Y6N10C3084A0,特殊電纜 FESTOON CABLE  100mm2以下 *4C (含4C以下),600.03
Y6N10C3084B0,特殊電纜 FESTOON CABLE  100mm2以下 *4C (含4C以下),300.01
Y6N10C3084C0,特殊電纜 FESTOON CABLE  100mm2以下 *4C (含4C以下),660.03
Y6N10C3084D0,特殊電纜 FESTOON CABLE  100mm2以下 *4C (含4C以下),330.02
Y6N10C3084E0,特殊電纜 FESTOON CABLE  100mm2以下 *4C (含4C以下),720.04
Y6N10C3084F0,特殊電纜 FESTOON CABLE  100mm2以下 *4C (含4C以下),360.01
Y6N10C3084G0,特殊電纜 FESTOON CABLE  100mm2以下 *4C (含4C以下),780.04
Y6N10C3084H0,特殊電纜 FESTOON CABLE  100mm2以下 *4C (含4C以下),390.02
Y6N10C3085A0,(地下)接地線配線 50mm2 (含以下),68.18
Y6N10C3085B0,(地下)接地線配線 50mm2 (含以下),34.1
Y6N10C3085C0,(地下)接地線配線 50mm2 (含以下),75
Y6N10C3085D0,(地下)接地線配線 50mm2 (含以下),37.51
Y6N10C3085E0,(地下)接地線配線 50mm2 (含以下),81.82
Y6N10C3085F0,(地下)接地線配線 50mm2 (含以下),40.92
Y6N10C3085G0,(地下)接地線配線 50mm2 (含以下),88.64
Y6N10C3085H0,(地下)接地線配線 50mm2 (含以下),44.32
Y6N10C3086A0,(地下)接地線配線 100mm2 (含以上),122.74
Y6N10C3086B0,(地下)接地線配線 100mm2 (含以上),61.36
Y6N10C3086C0,(地下)接地線配線 100mm2 (含以上),135.01
Y6N10C3086D0,(地下)接地線配線 100mm2 (含以上),67.5
Y6N10C3086E0,(地下)接地線配線 100mm2 (含以上),147.27
Y6N10C3086F0,(地下)接地線配線 100mm2 (含以上),73.64
Y6N10C3086G0,(地下)接地線配線 100mm2 (含以上),159.55
Y6N10C3086H0,(地下)接地線配線 100mm2 (含以上),79.77
Y6N10C3087A0,(地上)接地線配線 8mm2以下,23.87
Y6N10C3087B0,(地上)接地線配線 8mm2以下,11.93
Y6N10C3087C0,(地上)接地線配線 8mm2以下,26.25
Y6N10C3087D0,(地上)接地線配線 8mm2以下,13.13
Y6N10C3087E0,(地上)接地線配線 8mm2以下,28.64
Y6N10C3087F0,(地上)接地線配線 8mm2以下,14.32
Y6N10C3087G0,(地上)接地線配線 8mm2以下,31.03
Y6N10C3087H0,(地上)接地線配線 8mm2以下,15.51
Y6N10C3088A0,(地上)接地線配線 14~38mm2,33.41
Y6N10C3088B0,(地上)接地線配線 14~38mm2,16.71
Y6N10C3088C0,(地上)接地線配線 14~38mm2,36.76
Y6N10C3088D0,(地上)接地線配線 14~38mm2,18.38
Y6N10C3088E0,(地上)接地線配線 14~38mm2,40.1
Y6N10C3088F0,(地上)接地線配線 14~38mm2,20.05
Y6N10C3088G0,(地上)接地線配線 14~38mm2,43.44
Y6N10C3088H0,(地上)接地線配線 14~38mm2,21.72
Y6N10C3089A0,(地上)接地線配線 50mm2~60mm2,51.13
Y6N10C3089B0,(地上)接地線配線 50mm2~60mm2,25.57
Y6N10C3089C0,(地上)接地線配線 50mm2~60mm2,56.25
Y6N10C3089D0,(地上)接地線配線 50mm2~60mm2,28.13
Y6N10C3089E0,(地上)接地線配線 50mm2~60mm2,61.36
Y6N10C3089F0,(地上)接地線配線 50mm2~60mm2,30.69
Y6N10C3089G0,(地上)接地線配線 50mm2~60mm2,66.48
Y6N10C3089H0,(地上)接地線配線 50mm2~60mm2,33.24
Y6N10C3090A0,(地上)接地線配線 100mm2,75
Y6N10C3090B0,(地上)接地線配線 100mm2,37.51
Y6N10C3090C0,(地上)接地線配線 100mm2,82.5
Y6N10C3090D0,(地上)接地線配線 100mm2,41.26
Y6N10C3090E0,(地上)接地線配線 100mm2,90
Y6N10C3090F0,(地上)接地線配線 100mm2,45.01
Y6N10C3090G0,(地上)接地線配線 100mm2,97.5
Y6N10C3090H0,(地上)接地線配線 100mm2,48.75
Y6N10C3091A0,Profibus、ProfiNet,16.03
Y6N10C3091B0,Profibus、ProfiNet,8.01
Y6N10C3091C0,Profibus、ProfiNet,17.63
Y6N10C3091D0,Profibus、ProfiNet,8.81
Y6N10C3091E0,Profibus、ProfiNet,19.23
Y6N10C3091F0,Profibus、ProfiNet,9.62
Y6N10C3091G0,Profibus、ProfiNet,20.83
Y6N10C3091H0,Profibus、ProfiNet,10.42
Y6N10C3092A0,鐵氟龍管,18.75
Y6N10C3092B0,鐵氟龍管,9.38
Y6N10C3092C0,鐵氟龍管,20.63
Y6N10C3092D0,鐵氟龍管,10.31
Y6N10C3092E0,鐵氟龍管,22.5
Y6N10C3092F0,鐵氟龍管,11.25
Y6N10C3092G0,鐵氟龍管,24.38
Y6N10C3092H0,鐵氟龍管,12.19
Y6N10C4001A0,電纜回收  外徑<=20mm,8.86
Y6N10C4002A0,電纜回收  外徑>20mm,15.68
Y6N10E0001A0,"緊急照明燈,逃生指示燈",204.56
Y6N10E0001B0,"緊急照明燈,逃生指示燈",102.28
Y6N10E0001C0,"緊急照明燈,逃生指示燈",225.01
Y6N10E0001D0,"緊急照明燈,逃生指示燈",112.51
Y6N10E0001E0,"緊急照明燈,逃生指示燈",245.46
Y6N10E0001F0,"緊急照明燈,逃生指示燈",122.74
Y6N10E0001G0,"緊急照明燈,逃生指示燈",265.92
Y6N10E0001H0,"緊急照明燈,逃生指示燈",132.96
Y6N10E0002A0,警示燈,204.56
Y6N10E0002B0,警示燈,102.28
Y6N10E0002C0,警示燈,225.01
Y6N10E0002D0,警示燈,112.51
Y6N10E0002E0,警示燈,245.46
Y6N10E0002F0,警示燈,122.74
Y6N10E0002G0,警示燈,265.92
Y6N10E0002H0,警示燈,132.96
Y6N10E0003A0,航空燈裝於樓頂、廠房上,3451.87
Y6N10E0003B0,航空燈裝於樓頂、廠房上,1725.93
Y6N10E0003C0,航空燈裝於樓頂、廠房上,3797.05
Y6N10E0003D0,航空燈裝於樓頂、廠房上,1898.52
Y6N10E0003E0,航空燈裝於樓頂、廠房上,4142.23
Y6N10E0003F0,航空燈裝於樓頂、廠房上,2071.12
Y6N10E0003G0,航空燈裝於樓頂、廠房上,4487.43
Y6N10E0003H0,航空燈裝於樓頂、廠房上,2243.71
Y6N10E0004A0,航空燈裝於煙囪上,6903.73
Y6N10E0004B0,航空燈裝於煙囪上,3451.87
Y6N10E0004C0,航空燈裝於煙囪上,7594.1
Y6N10E0004D0,航空燈裝於煙囪上,3797.05
Y6N10E0004E0,航空燈裝於煙囪上,8284.48
Y6N10E0004F0,航空燈裝於煙囪上,4142.23
Y6N10E0004G0,航空燈裝於煙囪上,8974.85
Y6N10E0004H0,航空燈裝於煙囪上,4487.43
Y6N10E0005A0,避雷針裝於樓頂、廠房上,1363.7
Y6N10E0005B0,避雷針裝於樓頂、廠房上,681.85
Y6N10E0005C0,避雷針裝於樓頂、廠房上,1500.07
Y6N10E0005D0,避雷針裝於樓頂、廠房上,750.03
Y6N10E0005E0,避雷針裝於樓頂、廠房上,1636.44
Y6N10E0005F0,避雷針裝於樓頂、廠房上,818.22
Y6N10E0005G0,避雷針裝於樓頂、廠房上,1772.81
Y6N10E0005H0,避雷針裝於樓頂、廠房上,886.41
Y6N10E0006A0,避雷針裝於煙囪上,2727.4
Y6N10E0006B0,避雷針裝於煙囪上,1363.7
Y6N10E0006C0,避雷針裝於煙囪上,3000.14
Y6N10E0006D0,避雷針裝於煙囪上,1500.07
Y6N10E0006E0,避雷針裝於煙囪上,3272.88
Y6N10E0006F0,避雷針裝於煙囪上,1636.44
Y6N10E0006G0,避雷針裝於煙囪上,3545.62
Y6N10E0006H0,避雷針裝於煙囪上,1772.81
Y6N10E1001A0,"接地棒3/4""*10'",852.31
Y6N10E1001C0,"接地棒3/4""*10'",937.54
Y6N10E1001E0,"接地棒3/4""*10'",1022.77
Y6N10E1001G0,"接地棒3/4""*10'",1108.01
Y6N10E2001A0,磁礙子600V級以下,286.38
Y6N10E2001B0,磁礙子600V級以下,143.19
Y6N10E2002A0,磁礙子3.3KV~7.2KV級,408.43
Y6N10E2002B0,磁礙子3.3KV~7.2KV級,204.22
Y6N10E2003A0,磁礙子11KV~33KV級,597.64
Y6N10E2003B0,磁礙子11KV~33KV級,298.82
Y6N10E2004A0,絕緣礙子600V級以下,299.33
Y6N10E2004B0,絕緣礙子600V級以下,149.66
Y6N10E2005A0,絕緣礙子3.3KV~7.2KV級,366.83
Y6N10E2005B0,絕緣礙子3.3KV~7.2KV級,183.42
Y6N10E2006A0,絕緣礙子11KV~33KV級,571.73
Y6N10E2006B0,絕緣礙子11KV~33KV級,285.86
Y6N10E2007A0,交通號誌燈每組1~2PC(含支架),496.39
Y6N10E2007B0,交通號誌燈每組1~2PC(含支架),248.19
Y6N10E2008A0,交通號誌燈每組3~4PC(含支架),620.83
Y6N10E2008B0,交通號誌燈每組3~4PC(含支架),310.41
Y6N10E3001A0,全牙吊桿(含膨脹螺栓),88.3
Y6N10F0001A0,"防火布包紮TRAY 9""~12""",134.67
Y6N10F0001C0,"防火布包紮TRAY 9""~12""",148.13
Y6N10F0001E0,"防火布包紮TRAY 9""~12""",161.6
Y6N10F0001G0,"防火布包紮TRAY 9""~12""",175.06
Y6N10F0002A0,"防火布包紮TRAY 18""~24""",159.55
Y6N10F0002C0,"防火布包紮TRAY 18""~24""",175.51
Y6N10F0002E0,"防火布包紮TRAY 18""~24""",191.46
Y6N10F0002G0,"防火布包紮TRAY 18""~24""",207.42
Y6N10F1001A0,"防火布包紮2""管及以下",48.08
Y6N10F1001C0,"防火布包紮2""管及以下",52.87
Y6N10F1001E0,"防火布包紮2""管及以下",57.68
Y6N10F1001G0,"防火布包紮2""管及以下",62.49
Y6N10F1002A0,"防火布包紮2 1/2""管及以上",77.73
Y6N10F1002C0,"防火布包紮2 1/2""管及以上",85.5
Y6N10F1002E0,"防火布包紮2 1/2""管及以上",93.28
Y6N10F1002G0,"防火布包紮2 1/2""管及以上",101.05
Y6N10F1003A0,箱盤底板防塵處理,511.39
Y6N10F1003C0,箱盤底板防塵處理,562.52
Y6N10F1003E0,箱盤底板防塵處理,613.67
Y6N10F1003G0,箱盤底板防塵處理,664.8
Y6N10F1004A0,現場SENSOR防水處理,32.39
Y6N10F1004C0,現場SENSOR防水處理,35.63
Y6N10F1004E0,現場SENSOR防水處理,38.87
Y6N10F1004G0,現場SENSOR防水處理,42.11
Y6N10F2001A0,"地下管路管口封水 1 1/2""及以下",163.64
Y6N10F2002A0,"地下管路管口封水 2""",177.28
Y6N10F2003A0,"地下管路管口封水 2 1/2""",190.92
Y6N10F2004A0,"地下管路管口封水 3""",204.56
Y6N10F2005A0,"地下管路管口封水 3 1/2""~4""",231.83
Y6N10F2006A0,"地下管路管口封水 5""",259.1
Y6N10I0001A0,輕量鐵件製作(含除鏽及油漆)(含搬運),69.2
Y6N10I1001A0,熱浸鍍鋅輕量鐵件製作(含除鏽及油漆)(含搬運),35.12
Y6N10I1002A0,輕量鐵件安裝及補漆 (含熱浸鍍鋅鐵件)(含監火),40.92
Y6N10I1002B0,輕量鐵件安裝及補漆 (含熱浸鍍鋅鐵件)(含監火),20.46
Y6N10I1002C0,輕量鐵件安裝及補漆 (含熱浸鍍鋅鐵件)(含監火),45.01
Y6N10I1002D0,輕量鐵件安裝及補漆 (含熱浸鍍鋅鐵件)(含監火),22.5
Y6N10I1002E0,輕量鐵件安裝及補漆 (含熱浸鍍鋅鐵件)(含監火),49.09
Y6N10I1002F0,輕量鐵件安裝及補漆 (含熱浸鍍鋅鐵件)(含監火),24.55
Y6N10I1002G0,輕量鐵件安裝及補漆 (含熱浸鍍鋅鐵件)(含監火),53.18
Y6N10I1002H0,輕量鐵件安裝及補漆 (含熱浸鍍鋅鐵件)(含監火),26.59
Y6N10JA001A0,PVC電線 600V 60D 1.2mm*1/C,6.69
Y6N10JA002A0,PVC電線 600V 60D 1.6 mm*1/C,11.06
Y6N10JA003A0,PVC電線 600V 60D 2.0 mm*1/C,16.95
Y6N10JA004A0,PVC電線 600V 60D 1.25mm2*1/C,8.03
Y6N10JA005A0,PVC電線 600V 60D 2.0 mm2*1/C,12.07
Y6N10JA006A0,PVC扁平花線 600V 60D 1.25mm2*2/C,18.78
Y6N10JA007A0,PVC扁平線 600V 60D 1.6mm*2/C,25.79
Y6N10JA008A0,PVC扁平線 600V 60D 2.0mm*2/C,35.01
Y6N10JA009A0,PVC綠色接地電線 600V 60D 3.5mm2*1/C（含其他顏色）,19.9
Y6N10JA010A0,PVC綠色接地電線 600V 60D 5.5mm2*1/C（含其他顏色）,30.57
Y6N10JA011A0,PVC綠色接地電線 600V 60D 8 mm2*1/C（含其他顏色）,45.68
Y6N10JA012A0,PVC綠色接地電線 600V 60D 14 mm2*1/C（含其他顏色）,77.35
Y6N10JA013A0,PVC綠色接地電線 600V 60D 22 mm2*1/C（含其他顏色）,119.36
Y6N10JA014A0,PVC綠色接地電線 600V 60D 38 mm2*1/C（含其他顏色）,199.27
Y6N10JA015A0,PVC綠色接地電線 600V 60D 60 mm2*1/C（含其他顏色）,315.08
Y6N10JA016A0,PVC綠色接地電線 600V 60D 100 mm2*1/C（含其他顏色）,522.68
Y6N10JB001A0,R型端子 1.25 mm2,1.05
Y6N10JB002A0,R型端子 2 mm2,1.05
Y6N10JB003A0,R型端子 3.5 mm2,1.63
Y6N10JB004A0,R型端子 5.5 mm2,1.87
Y6N10JB005A0,R型端子 8 mm2,3.68
Y6N10JB006A0,R型端子 14 mm2,5.77
Y6N10JB007A0,R型端子 22 mm2,7.88
Y6N10JB008A0,無縫銅管壓接端子CLOSE-TYPE 38SQ.mm-6mm 厚度:1.5mm,14
Y6N10JB009A0,無縫銅管壓接端子CLOSE-TYPE 38SQ.mm-8mm 厚度:1.5mm,14
Y6N10JB010A0,無縫銅管壓接端子CLOSE-TYPE 38SQ.mm-10mm 厚度:1.5mm,14
Y6N10JB011A0,無縫銅管壓接端子CLOSE-TYPE 38SQ.mm-12mm 厚度:1.5mm,14
Y6N10JB012A0,無縫銅管壓接端子CLOSE-TYPE 38SQ.mm-14mm 厚度:1.5mm,18.78
Y6N10JB013A0,無縫銅管壓接端子CLOSE-TYPE 60SQ.mm-6mm 厚度:1.5mm,25.04
Y6N10JB014A0,無縫銅管壓接端子CLOSE-TYPE 60SQ.mm-8mm 厚度:1.5mm,25.04
Y6N10JB015A0,無縫銅管壓接端子CLOSE-TYPE 60SQ.mm-10mm 厚度:1.5mm,25.04
Y6N10JB016A0,無縫銅管壓接端子CLOSE-TYPE 60SQ.mm-12mm 厚度:1.5mm,24.5
Y6N10JB017A0,無縫銅管壓接端子CLOSE-TYPE 60SQ.mm-14mm 厚度:1.5mm,30.3
Y6N10JB018A0,無縫銅管壓接端子CLOSE-TYPE 100SQ.mm-6mm 厚度:1.5mm,53.79
Y6N10JB019A0,無縫銅管壓接端子CLOSE-TYPE 100SQ.mm-8mm 厚度:1.5mm,53.79
Y6N10JB020A0,無縫銅管壓接端子CLOSE-TYPE 100SQ.mm-10mm 厚度:1.5mm,53.79
Y6N10JB021A0,無縫銅管壓接端子CLOSE-TYPE 100SQ.mm-12mm 厚度:1.5mm,53.79
Y6N10JB022A0,無縫銅管壓接端子CLOSE-TYPE 100SQ.mm-14mm 厚度:1.5mm,53.79
Y6N10JB023A0,無縫銅管壓接端子CLOSE-TYPE 150SQ.mm-6mm 厚度:1.5mm,92.91
Y6N10JB024A0,無縫銅管壓接端子CLOSE-TYPE 150SQ.mm-8mm 厚度:1.5mm,92.91
Y6N10JB025A0,無縫銅管壓接端子CLOSE-TYPE 150SQ.mm-10mm 厚度:1.5mm,92.91
Y6N10JB026A0,無縫銅管壓接端子CLOSE-TYPE 150SQ.mm-12mm 厚度:1.5mm,92.91
Y6N10JB027A0,無縫銅管壓接端子CLOSE-TYPE 150SQ.mm-14mm 厚度:1.5mm,92.91
Y6N10JB028A0,無縫銅管壓接端子CLOSE-TYPE 200SQ.mm-6mm 厚度:1.5mm,116.47
Y6N10JB029A0,無縫銅管壓接端子CLOSE-TYPE 200SQ.mm-8mm 厚度:1.5mm,116.47
Y6N10JB030A0,無縫銅管壓接端子CLOSE-TYPE 200SQ.mm-10mm 厚度:1.5mm,116.47
Y6N10JB031A0,無縫銅管壓接端子CLOSE-TYPE 200SQ.mm-12mm 厚度:1.5mm,116.47
Y6N10JB032A0,無縫銅管壓接端子CLOSE-TYPE 200SQ.mm-14mm 厚度:1.5mm,116.47
Y6N10JB033A0,無縫銅管壓接端子CLOSE-TYPE 250SQ.mm-6mm 厚度:1.5mm,175.04
Y6N10JB034A0,無縫銅管壓接端子CLOSE-TYPE 250SQ.mm-8mm 厚度:1.5mm,175.04
Y6N10JB035A0,無縫銅管壓接端子CLOSE-TYPE 250SQ.mm-10mm 厚度:1.5mm,175.04
Y6N10JB036A0,無縫銅管壓接端子CLOSE-TYPE 250SQ.mm-12mm 厚度:1.5mm,175.04
Y6N10JB037A0,無縫銅管壓接端子CLOSE-TYPE 250SQ.mm-14mm 厚度:1.5mm,175.04
Y6N10JB038A0,無縫銅管壓接端子CLOSE-TYPE 325SQ.mm-6mm 厚度:1.5mm,245.05
Y6N10JB039A0,無縫銅管壓接端子CLOSE-TYPE 325SQ.mm-8mm 厚度:1.5mm,245.05
Y6N10JB040A0,無縫銅管壓接端子CLOSE-TYPE 325SQ.mm-10mm 厚度:1.5mm,245.05
Y6N10JB041A0,無縫銅管壓接端子CLOSE-TYPE 325SQ.mm-12mm 厚度:1.5mm,245.05
Y6N10JB042A0,無縫銅管壓接端子CLOSE-TYPE 325SQ.mm-14mm 厚度:1.5mm,245.05
Y6N10JB043A0,無縫銅管壓接端子CLOSE-TYPE 400SQ.mm-6mm 厚度:1.5mm,466.55
Y6N10JB044A0,無縫銅管壓接端子CLOSE-TYPE 400SQ.mm-8mm 厚度:1.5mm,466.55
Y6N10JB045A0,無縫銅管壓接端子CLOSE-TYPE 400SQ.mm-10mm 厚度:1.5mm,466.55
Y6N10JB046A0,無縫銅管壓接端子CLOSE-TYPE 400SQ.mm-12mm 厚度:1.5mm,466.55
Y6N10JB047A0,無縫銅管壓接端子CLOSE-TYPE 400SQ.mm-14mm 厚度:1.5mm,466.55
Y6N10JB048A0,BUTT CONNECTOR200平方,182.45
Y6N10JB049A0,電纜標示標籤（含標誌套管、標誌靶及鎖式紮線帶),9.76
Y6N10JB050A0,C型分歧壓接頭BRASS 125SQ.MM~60SQ.MM,116.47
Y6N10JB051A0,熱縮型高壓電纜頭5KV 50SQ.MM RAYCHEM HVT-80-J 含端子,1632.93
Y6N10JB052A0,熱縮型高壓電纜頭5KV 120SQ.MM RAYCHEM HVT-81-J 含端子,1866.21
Y6N10JB053A0,熱縮型高壓電纜頭5KV 240SQ.MM RAYCHEM HVT-82-J 含端子,2139.88
Y6N10JB054A0,熱縮型高壓電纜頭15KV 60SQ.MM RAYCHEM HVT-151-G 含端子,1982.68
Y6N10JB055A0,熱縮型高壓電纜頭15KV 185SQ.MM RAYCHEM HVT-152-G 含端子,2215.95
Y6N10JB056A0,熱縮型高壓電纜頭15KV 240SQ.MM RAYCHEM HVT-153-G 含端子,2682.5
Y6N10JB057A0,熱縮型中間電纜接頭5KV 50SQ.MM RAYCHEM HVS-821S 含接續端子,3848.88
Y6N10JB058A0,熱縮型中間電纜接頭5KV 120SQ.MM RAYCHEM HVS-822S 含接續端子,4315.44
Y6N10JB059A0,熱縮型中間電纜接頭5KV 240SQ.MM RAYCHEM HVS-823S 含接續端子,4918.99
Y6N10JB060A0,熱縮型中間電纜接頭15KV 185SQ.MM RAYCHEM HVS-1522S 含接續端子,7581.3
Y6N10JB061A0,熱縮型中間電纜接頭15KV 240SQ.MM RAYCHEM HVS-1523S 含接續端子,9097.77
Y6N10JC001A0,色套325MM 色套(紅.白.藍),23.84
Y6N10JC002A0,色套400MM 色套(紅/白/藍),29.12
Y6N10JC003A0,長型壓接套管 38mm2 - L32mm,12.89
Y6N10JC004A0,長型壓接套管 60mm2 - L36mm,17.42
Y6N10JC005A0,長型壓接套管 100mm2 - L38mm,40.65
Y6N10JC006A0,長型壓接套管 150mm2 - L54mm,73.16
Y6N10JC007A0,長型壓接套管 200mm2 - L63mm,140.04
Y6N10JC008A0,長型壓接套管 250mm2 - L63mm,150.98
Y6N10JC009A0,長型壓接套管 325mm2 - L72mm,209.05
Y6N10JC010A0,熱收縮套管W3F2-3/16 含膠型 (廠牌:SUMITUBE) 1.22M/PC,81.3
Y6N10JC011A0,熱收縮套管W3F2-1/4 含膠型 (廠牌:SUMITUBE) 1.22M/PC,151.48
Y6N10JC012A0,熱收縮套管SCM-04 含膠型 (廠牌:SUMITUBE) 1.22M/PC,176.73
Y6N10JC013A0,熱收縮套管SCM-07 含膠型 (廠牌:SUMITUBE) 1.22M/PC,201.98
Y6N10JC014A0,熱收縮套管SCM-11 含膠型 (廠牌:SUMITUBE) 1.22M/PC,235.31
Y6N10JC015A0,熱收縮套管SCM-13 含膠型 (廠牌:SUMITUBE) 1.22M/PC,277.72
Y6N10JC016A0,熱收縮套管SCM-15 含膠型 (廠牌:SUMITUBE) 1.22M/PC,326.52
Y6N10JC017A0,熱收縮套管SCM-17 含膠型 (廠牌:SUMITUBE) 1.22M/PC,394.87
Y6N10JC018A0,熱收縮套管SCM-20 含膠型 (廠牌:SUMITUBE) 1.22M/PC,454.25
Y6N10JC019A0,熱收縮套管SCM-27 含膠型 (廠牌:SUMITUBE) 1.22M/PC,583.02
Y6N10JC020A0,熱收縮套管SCM-35 含膠型 (廠牌:SUMITUBE) 1.22M/PC,638.76
Y6N10JC021A0,熱收縮套管SCM-50 含膠型 (廠牌:SUMITUBE) 1.22M/PC,1749.07
Y6N10JC022A0,矽質蠟管1.5MM綠色 1M/PC (廠牌:慶豐),5.89
Y6N10JC023A0,耐熱矽臘纖維套管 20mm 耐溫：180度,116.14
Y6N10JC024A0,耐熱矽臘纖維套管 30mm 耐溫：180度,244.69
Y6N10JC025A0,高壓熱縮套管 G.APEX HB2-180 1M,769.65
Y6N10JD001A0,鍍鋅等邊角型鋼A36(SS400) 65×65×6MM 6M/PC,2720.09
Y6N10JD002A0,鍍鋅單面有孔角鐵40X40X4MM 3M/PC,514.48
Y6N10JD003A0,不銹鋼角型鋼 SUS304 40X40X3.2MM (橢圓單邊孔) 3M/PC,1154.88
Y6N10JD004A0,不銹鋼角型鋼 SUS304 40X40X5MM (橢圓單邊孔) 3M/PC,1459.52
Y6N10JD005A0,不銹鋼角型鋼 SUS304 50X50X6MM (橢圓單邊孔) 3M/PC,2335.09
Y6N10JD006A0,不銹鋼角型鋼SUS304 50X50X5MM 6M/PC,3163.34
Y6N10JD007A0,不銹鋼角型鋼SUS304 65X65X6MM (橢圓單邊孔) 3M/PC,3926.6
Y6N10JD008A0,萬能角鋼40*40*4T SUS304 3M/PC,945.17
Y6N10JE001A0,"塑膠硬質管(一端擴口) 3/4""X3MMX4M",110.4
Y6N10JE002A0,"PVC管 (厚管) 3/8"" 4米/支",54.53
Y6N10JE003A0,"PVC管 (厚管) 1/2"" 4米/支",111.09
Y6N10JE004A0,"PVC管 (厚管) 3/4"" 4米/支",127.57
Y6N10JE005A0,"PVC管 (厚管) 1"" 4米/支",154.16
Y6N10JE006A0,"PVC管 (厚管) 1 1/4 "" 4米/支",222.18
